,AbilityAfterAnswer,Correct,ExerciseId,LearningObjectiveId,SubmitDateTime,UserId
127,615,1,142611,671,2018-04-21 15:41:37.898599,3013
128,558,0,176976,674,2018-04-21 15:41:37.898617,3012
129,257,0,299716,679,2018-04-21 15:41:37.898635,3016
130,958,0,230599,676,2018-04-21 15:41:37.898663,3077
131,471,0,208560,672,2018-04-21 15:41:37.898683,3015
132,907,0,161034,679,2018-04-21 15:41:37.898700,3098
133,303,1,281081,671,2018-04-21 15:41:37.898718,3098
134,841,1,268630,670,2018-04-21 15:41:37.898735,3050
135,116,0,207696,677,2018-04-21 15:41:37.898752,3099
136,286,1,173627,673,2018-04-21 15:41:37.898770,3015
137,858,1,184668,671,2018-04-21 15:41:37.898788,3051
138,537,0,150670,672,2018-04-21 15:41:37.898805,3077
139,185,0,132475,674,2018-04-21 15:41:37.898835,3032
140,278,0,148427,680,2018-04-21 15:41:37.898856,3040
141,665,1,119430,680,2018-04-21 15:41:37.898886,3011
142,841,1,195266,676,2018-04-21 15:41:37.898906,3050
143,825,1,129549,680,2018-04-21 15:41:37.898925,3073
144,416,1,202182,678,2018-04-21 15:41:37.898942,3001
145,998,0,101979,670,2018-04-21 15:41:37.898960,3005
146,400,1,213434,672,2018-04-21 15:41:37.898978,3060
147,765,1,221335,679,2018-04-21 15:41:37.898996,3054
148,738,0,191610,677,2018-04-21 15:41:37.899013,3038
149,411,0,183502,673,2018-04-21 15:41:37.899031,3010
150,290,0,222133,679,2018-04-21 15:41:37.899049,3089
151,379,0,280975,672,2018-04-21 15:41:37.899067,3017
152,689,0,290644,670,2018-04-21 15:41:37.899095,3066
153,887,1,245045,670,2018-04-21 15:41:37.899115,3057
154,975,0,199727,676,2018-04-21 15:41:37.899133,3025
155,891,0,228493,678,2018-04-21 15:41:37.899151,3070
156,609,1,160086,676,2018-04-21 15:41:37.899168,3076
157,614,0,191254,673,2018-04-21 15:41:37.899186,3086
158,739,0,249955,675,2018-04-21 15:41:37.899204,3043
159,363,1,246431,670,2018-04-21 15:41:37.899221,3056
160,215,1,272065,675,2018-04-21 15:41:37.899238,3001
161,552,1,160432,674,2018-04-21 15:41:37.899256,3053
162,878,0,243091,678,2018-04-21 15:41:37.899286,3083
163,925,0,148035,679,2018-04-21 15:41:37.899307,3048
164,839,1,222838,670,2018-04-21 15:41:37.899325,3014
165,618,0,121842,676,2018-04-21 15:41:37.899356,3053
166,397,1,251900,677,2018-04-21 15:41:37.899376,3024
167,296,0,255984,677,2018-04-21 15:41:37.899394,3094
168,264,1,131070,674,2018-04-21 15:41:37.899412,3085
169,523,0,290535,678,2018-04-21 15:41:37.899430,3036
170,422,0,249257,674,2018-04-21 15:41:37.899447,3033
171,433,0,111999,674,2018-04-21 15:41:37.899475,3058
172,343,0,280653,670,2018-04-21 15:41:37.899495,3041
173,891,0,115828,675,2018-04-21 15:41:37.899513,3046
174,406,0,194655,677,2018-04-21 15:41:37.899531,3047
175,561,1,281891,676,2018-04-21 15:41:37.899549,3040
176,957,1,216417,679,2018-04-21 15:41:37.899567,3054
177,852,0,286966,677,2018-04-21 15:41:37.899584,3034
178,880,1,232298,673,2018-04-21 15:41:37.899613,3028
179,312,1,117828,680,2018-04-21 15:41:37.899633,3065
180,814,1,274713,679,2018-04-21 15:41:37.899702,3009
181,127,0,187771,675,2018-04-21 15:41:37.899722,3081
182,397,1,190529,672,2018-04-21 15:41:37.899740,3037
183,186,1,101890,675,2018-04-21 15:41:37.899758,3003
184,535,0,157829,676,2018-04-21 15:41:37.899775,3077
185,667,1,224192,672,2018-04-21 15:41:37.899793,3019
186,690,1,202537,671,2018-04-21 15:41:37.899810,3047
187,759,0,237631,677,2018-04-21 15:41:37.899828,3019
188,916,1,143291,680,2018-04-21 15:41:37.899846,3014
189,701,0,164246,674,2018-04-21 15:41:37.899864,3048
190,475,1,116834,670,2018-04-21 15:41:37.899882,3027
191,299,1,174033,680,2018-04-21 15:41:37.899913,3015
192,944,1,101328,680,2018-04-21 15:41:37.899933,3099
193,491,0,165067,680,2018-04-21 15:41:37.899964,3056
194,906,0,246665,672,2018-04-21 15:41:37.899983,3068
195,994,0,124148,671,2018-04-21 15:41:37.900001,3032
196,292,1,155797,680,2018-04-21 15:41:37.900020,3054
197,371,0,121910,677,2018-04-21 15:41:37.900038,3003
198,753,1,220757,670,2018-04-21 15:41:37.900055,3086
199,931,1,296273,678,2018-04-21 15:41:37.900073,3086
200,353,0,206063,678,2018-04-21 15:41:37.900091,3041
201,409,1,262856,675,2018-04-21 15:41:37.900108,3087
202,298,1,148733,673,2018-04-21 15:41:37.900126,3055
203,245,0,200470,675,2018-04-21 15:41:37.900144,3002
204,691,0,259309,673,2018-04-21 15:41:37.900172,3060
205,976,0,269695,672,2018-04-21 15:41:37.900192,3079
206,638,1,206164,672,2018-04-21 15:41:37.900210,3095
207,590,0,206756,680,2018-04-21 15:41:37.900228,3076
208,554,0,128961,671,2018-04-21 15:41:37.900246,3068
209,492,0,242203,677,2018-04-21 15:41:37.900263,3001
210,590,0,113252,672,2018-04-21 15:41:37.900281,3050
211,654,1,196678,675,2018-04-21 15:41:37.900298,3016
212,856,1,192729,673,2018-04-21 15:41:37.900326,3093
213,874,1,142469,673,2018-04-21 15:41:37.900346,3096
214,629,0,231747,671,2018-04-21 15:41:37.900364,3034
215,261,1,262330,677,2018-04-21 15:41:37.900381,3062
216,914,1,279473,672,2018-04-21 15:41:37.900399,3079
217,329,0,296088,678,2018-04-21 15:41:37.900430,3064
218,796,1,114223,679,2018-04-21 15:41:37.900450,3057
219,277,1,211177,671,2018-04-21 15:41:37.900469,3087
220,222,1,187508,672,2018-04-21 15:41:37.900487,3094
221,510,1,164061,672,2018-04-21 15:41:37.900505,3010
222,287,1,147266,679,2018-04-21 15:41:37.900523,3037
223,182,1,247077,673,2018-04-21 15:41:37.900540,3047
224,496,1,134014,671,2018-04-21 15:41:37.900558,3091
225,626,0,290651,670,2018-04-21 15:41:37.900575,3076
226,509,0,143658,671,2018-04-21 15:41:37.900593,3074
227,813,0,203081,678,2018-04-21 15:41:37.900611,3064
228,652,0,148646,674,2018-04-21 15:41:37.900629,3039
229,769,1,124799,676,2018-04-21 15:41:37.900648,3003
230,749,0,180540,679,2018-04-21 15:41:37.900685,3060
231,157,0,283197,678,2018-04-21 15:41:37.900705,3063
232,809,1,257968,673,2018-04-21 15:41:37.900723,3089
233,394,1,155234,680,2018-04-21 15:41:37.900741,3029
234,833,0,156937,680,2018-04-21 15:41:37.900759,3010
235,518,0,233615,673,2018-04-21 15:41:37.900776,3018
236,336,1,250119,672,2018-04-21 15:41:37.900794,3087
237,634,0,191493,672,2018-04-21 15:41:37.900812,3063
238,879,1,120847,673,2018-04-21 15:41:37.900830,3097
239,487,0,294594,675,2018-04-21 15:41:37.900847,3055
240,412,0,236404,674,2018-04-21 15:41:37.900866,3059
241,709,0,235104,680,2018-04-21 15:41:37.900884,3047
242,916,0,277152,670,2018-04-21 15:41:37.900902,3031
243,944,0,164026,675,2018-04-21 15:41:37.900931,3070
244,564,0,156821,672,2018-04-21 15:41:37.900962,3095
245,676,1,128244,678,2018-04-21 15:41:37.900983,3088
246,921,0,295258,675,2018-04-21 15:41:37.901001,3094
247,796,1,136396,678,2018-04-21 15:41:37.901019,3037
248,258,1,149665,678,2018-04-21 15:41:37.901037,3031
249,576,1,169705,676,2018-04-21 15:41:37.901069,3083
250,1000,1,194915,671,2018-04-21 15:41:37.901088,3002
251,258,1,148880,679,2018-04-21 15:41:37.901107,3037
252,221,1,221130,674,2018-04-21 15:41:37.901125,3054
253,431,1,263170,676,2018-04-21 15:41:37.901142,3036
254,221,1,168888,677,2018-04-21 15:41:37.901160,3019
255,404,0,297344,676,2018-04-21 15:41:37.901178,3011
256,124,0,186129,676,2018-04-21 15:41:37.901206,3099
257,294,1,268298,679,2018-04-21 15:41:37.901225,3097
258,263,1,291814,672,2018-04-21 15:41:37.901244,3078
259,656,1,164262,671,2018-04-21 15:41:37.901262,3074
260,712,1,298854,672,2018-04-21 15:41:37.901279,3001
261,778,1,287262,672,2018-04-21 15:41:37.901297,3092
262,813,0,194174,676,2018-04-21 15:41:37.901315,3001
263,215,1,219293,671,2018-04-21 15:41:37.901333,3039
264,310,0,102381,680,2018-04-21 15:41:37.901351,3045
265,124,0,238978,672,2018-04-21 15:41:37.901368,3030
266,602,1,168499,680,2018-04-21 15:41:37.901386,3057
267,693,1,287323,680,2018-04-21 15:41:37.901404,3084
268,886,1,102990,679,2018-04-21 15:41:37.901422,3054
269,515,0,255680,678,2018-04-21 15:41:37.901450,3056
270,585,0,238304,674,2018-04-21 15:41:37.901471,3001
271,987,0,285810,674,2018-04-21 15:41:37.901490,3015
272,626,1,109338,680,2018-04-21 15:41:37.901508,3070
273,344,0,151290,678,2018-04-21 15:41:37.901525,3008
274,825,0,192926,675,2018-04-21 15:41:37.901543,3004
275,601,1,120613,677,2018-04-21 15:41:37.901561,3091
276,135,1,213519,670,2018-04-21 15:41:37.901579,3044
277,183,1,195116,680,2018-04-21 15:41:37.901608,3002
278,192,0,296972,674,2018-04-21 15:41:37.901629,3071
279,639,0,202084,680,2018-04-21 15:41:37.901647,3000
280,362,0,151873,670,2018-04-21 15:41:37.901676,3034
281,446,1,235487,678,2018-04-21 15:41:37.901696,3075
282,160,1,251808,674,2018-04-21 15:41:37.901726,3065
283,376,1,142643,676,2018-04-21 15:41:37.901745,3036
284,680,1,150911,680,2018-04-21 15:41:37.901764,3063
285,779,0,138588,679,2018-04-21 15:41:37.901782,3006
286,714,1,188758,672,2018-04-21 15:41:37.901800,3055
287,525,1,261926,671,2018-04-21 15:41:37.901818,3030
288,482,1,223275,677,2018-04-21 15:41:37.901836,3018
289,260,0,204573,678,2018-04-21 15:41:37.901853,3005
290,150,0,140643,676,2018-04-21 15:41:37.901871,3056
291,939,0,284963,676,2018-04-21 15:41:37.901888,3033
292,783,1,170621,670,2018-04-21 15:41:37.901905,3004
293,241,1,250040,670,2018-04-21 15:41:37.901923,3057
294,222,1,187881,675,2018-04-21 15:41:37.901940,3059
295,951,0,193714,675,2018-04-21 15:41:37.901968,3018
296,837,1,116835,679,2018-04-21 15:41:37.901989,3080
297,487,1,201837,679,2018-04-21 15:41:37.902006,3035
298,287,0,286772,675,2018-04-21 15:41:37.902024,3061
299,778,1,151244,680,2018-04-21 15:41:37.902042,3032
300,209,0,214302,676,2018-04-21 15:41:37.902059,3072
301,428,0,299821,678,2018-04-21 15:41:37.902077,3008
302,417,0,171362,676,2018-04-21 15:41:37.902095,3002
303,587,0,286160,678,2018-04-21 15:41:37.902112,3006
304,744,1,220026,675,2018-04-21 15:41:37.902130,3063
305,751,1,236236,672,2018-04-21 15:41:37.902161,3069
306,194,0,116872,675,2018-04-21 15:41:37.902180,3100
307,700,0,157542,670,2018-04-21 15:41:37.902198,3043
308,954,0,235132,675,2018-04-21 15:41:37.902227,3053
309,626,1,220777,673,2018-04-21 15:41:37.902249,3058
310,575,1,111824,678,2018-04-21 15:41:37.902278,3048
311,232,1,178167,675,2018-04-21 15:41:37.902299,3099
312,973,1,222412,674,2018-04-21 15:41:37.902317,3093
313,357,1,176509,670,2018-04-21 15:41:37.902335,3026
314,147,1,188972,679,2018-04-21 15:41:37.902352,3067
315,359,1,233599,677,2018-04-21 15:41:37.902371,3017
316,186,1,161678,672,2018-04-21 15:41:37.902388,3021
317,784,0,256786,671,2018-04-21 15:41:37.902406,3012
318,160,0,111797,670,2018-04-21 15:41:37.902801,3030
319,746,0,291640,674,2018-04-21 15:41:37.902847,3072
320,735,0,130337,670,2018-04-21 15:41:37.902866,3063
321,928,0,235697,678,2018-04-21 15:41:37.902907,3078
322,205,0,275494,677,2018-04-21 15:41:37.902928,3066
323,900,0,128347,677,2018-04-21 15:41:37.902946,3068
324,671,0,243750,675,2018-04-21 15:41:37.902964,3003
325,997,1,146402,673,2018-04-21 15:41:37.902982,3100
326,246,0,169560,676,2018-04-21 15:41:37.903000,3088
327,792,1,220429,675,2018-04-21 15:41:37.903017,3030
328,743,0,112926,676,2018-04-21 15:41:37.903034,3065
329,694,0,161656,680,2018-04-21 15:41:37.903052,3084
330,116,0,209414,675,2018-04-21 15:41:37.903084,3020
331,861,1,284105,670,2018-04-21 15:41:37.903103,3099
332,222,0,223307,671,2018-04-21 15:41:37.903122,3010
333,992,1,193131,671,2018-04-21 15:41:37.903140,3070
334,512,1,265343,675,2018-04-21 15:41:37.903169,3091
335,209,0,256841,679,2018-04-21 15:41:37.903189,3008
336,635,0,199790,679,2018-04-21 15:41:37.903208,3069
337,300,0,113961,670,2018-04-21 15:41:37.903225,3043
338,750,1,137086,678,2018-04-21 15:41:37.903242,3059
339,168,0,136245,676,2018-04-21 15:41:37.903260,3083
340,314,1,195977,680,2018-04-21 15:41:37.903277,3000
341,955,0,289141,670,2018-04-21 15:41:37.903294,3010
342,876,0,199856,675,2018-04-21 15:41:37.903311,3098
343,463,1,105361,674,2018-04-21 15:41:37.903329,3067
344,171,0,136566,679,2018-04-21 15:41:37.903348,3003
345,697,1,171194,674,2018-04-21 15:41:37.903378,3027
346,378,1,212739,677,2018-04-21 15:41:37.903398,3022
347,980,1,164571,677,2018-04-21 15:41:37.903427,3028
348,195,1,215862,677,2018-04-21 15:41:37.903448,3060
349,528,1,206932,676,2018-04-21 15:41:37.903466,3032
350,728,1,271741,680,2018-04-21 15:41:37.903484,3000
351,324,1,298437,673,2018-04-21 15:41:37.903502,3050
352,375,0,297687,671,2018-04-21 15:41:37.903521,3068
353,180,1,266955,677,2018-04-21 15:41:37.903539,3037
354,372,1,291629,672,2018-04-21 15:41:37.903557,3013
355,977,0,271395,677,2018-04-21 15:41:37.903575,3043
356,193,0,261710,673,2018-04-21 15:41:37.903594,3087
357,428,1,204041,679,2018-04-21 15:41:37.903612,3026
358,437,1,262493,676,2018-04-21 15:41:37.903630,3096
359,534,1,196440,674,2018-04-21 15:41:37.903647,3072
360,478,1,285368,680,2018-04-21 15:41:37.903678,3008
361,647,0,132101,675,2018-04-21 15:41:37.903724,3068
362,522,0,116402,676,2018-04-21 15:41:37.903744,3038
363,458,1,230987,671,2018-04-21 15:41:37.903762,3029
364,946,1,288978,671,2018-04-21 15:41:37.903780,3054
365,215,0,280700,674,2018-04-21 15:41:37.903798,3006
366,165,0,215426,674,2018-04-21 15:41:37.903815,3063
367,140,1,166199,674,2018-04-21 15:41:37.903832,3035
368,614,1,113193,670,2018-04-21 15:41:37.903850,3018
369,125,1,274845,675,2018-04-21 15:41:37.903867,3093
370,757,0,100419,676,2018-04-21 15:41:37.903885,3018
371,756,0,201881,680,2018-04-21 15:41:37.903903,3093
372,119,0,269857,676,2018-04-21 15:41:37.903921,3097
373,768,1,111951,671,2018-04-21 15:41:37.903987,3087
374,939,1,264372,676,2018-04-21 15:41:37.904010,3093
375,774,0,280016,678,2018-04-21 15:41:37.904029,3005
376,1000,0,159456,670,2018-04-21 15:41:37.904046,3046
377,535,0,155782,671,2018-04-21 15:41:37.904064,3001
378,970,1,152271,678,2018-04-21 15:41:37.904095,3069
379,635,1,131991,674,2018-04-21 15:41:37.904115,3010
380,411,0,199092,670,2018-04-21 15:41:37.904145,3014
381,500,1,264748,678,2018-04-21 15:41:37.904165,3003
382,222,1,254304,678,2018-04-21 15:41:37.904183,3023
383,306,0,103435,674,2018-04-21 15:41:37.904200,3042
384,327,1,186520,679,2018-04-21 15:41:37.904218,3027
385,820,1,151204,676,2018-04-21 15:41:37.904235,3099
386,323,0,218851,674,2018-04-21 15:41:37.904265,3008
387,834,0,265300,677,2018-04-21 15:41:37.904285,3002
388,915,1,267583,676,2018-04-21 15:41:37.904304,3092
389,743,0,230509,673,2018-04-21 15:41:37.904322,3015
390,314,1,246905,675,2018-04-21 15:41:37.904339,3003
391,917,0,197123,677,2018-04-21 15:41:37.904357,3009
392,309,0,137410,680,2018-04-21 15:41:37.904374,3012
393,705,1,273663,676,2018-04-21 15:41:37.904392,3005
394,651,1,120960,675,2018-04-21 15:41:37.904410,3044
395,118,0,212580,680,2018-04-21 15:41:37.904428,3040
396,433,0,157386,680,2018-04-21 15:41:37.904446,3008
397,779,1,250028,677,2018-04-21 15:41:37.904464,3023
398,171,0,291034,673,2018-04-21 15:41:37.904482,3002
399,828,0,199073,675,2018-04-21 15:41:37.904510,3083
400,534,0,250460,676,2018-04-21 15:41:37.904530,3010
401,633,0,271101,676,2018-04-21 15:41:37.904548,3070
402,842,1,286126,675,2018-04-21 15:41:37.904565,3043
403,354,0,289982,670,2018-04-21 15:41:37.904583,3049
404,656,1,191311,672,2018-04-21 15:41:37.904600,3053
405,157,0,209708,674,2018-04-21 15:41:37.904618,3017
406,654,0,119456,675,2018-04-21 15:41:37.904636,3016
407,916,1,122230,674,2018-04-21 15:41:37.904654,3055
408,728,1,130036,671,2018-04-21 15:41:37.904671,3097
409,683,0,170069,680,2018-04-21 15:41:37.904689,3066
410,903,0,203910,680,2018-04-21 15:41:37.904706,3049
411,610,1,248584,679,2018-04-21 15:41:37.904736,3064
412,684,1,209325,678,2018-04-21 15:41:37.904767,3032
413,604,1,146321,675,2018-04-21 15:41:37.904787,3097
414,652,1,174610,676,2018-04-21 15:41:37.904805,3059
415,536,0,124540,672,2018-04-21 15:41:37.904822,3099
416,710,0,138003,673,2018-04-21 15:41:37.904841,3014
417,919,1,173197,670,2018-04-21 15:41:37.904872,3077
418,404,1,275792,671,2018-04-21 15:41:37.904892,3081
419,155,1,153649,679,2018-04-21 15:41:37.904910,3064
420,703,1,100294,675,2018-04-21 15:41:37.904928,3019
421,661,1,278908,678,2018-04-21 15:41:37.904945,3017
422,693,1,128775,672,2018-04-21 15:41:37.904963,3083
423,373,1,235400,676,2018-04-21 15:41:37.904981,3021
424,989,0,202242,673,2018-04-21 15:41:37.904998,3060
425,908,0,234031,673,2018-04-21 15:41:37.905027,3025
426,663,1,257987,678,2018-04-21 15:41:37.905046,3003
427,653,0,185738,678,2018-04-21 15:41:37.905064,3099
428,423,1,143332,670,2018-04-21 15:41:37.905082,3005
429,857,0,151669,680,2018-04-21 15:41:37.905100,3010
430,415,1,132237,670,2018-04-21 15:41:37.905128,3025
431,528,1,268221,678,2018-04-21 15:41:37.905148,3014
432,829,0,124096,680,2018-04-21 15:41:37.905166,3092
433,981,0,285072,670,2018-04-21 15:41:37.905185,3004
434,772,0,166550,670,2018-04-21 15:41:37.905204,3095
435,758,1,184698,676,2018-04-21 15:41:37.905221,3079
436,503,0,160132,670,2018-04-21 15:41:37.905238,3005
437,576,0,173591,671,2018-04-21 15:41:37.905256,3040
438,935,1,135839,674,2018-04-21 15:41:37.905285,3042
439,444,0,274362,671,2018-04-21 15:41:37.905305,3004
440,195,1,126928,673,2018-04-21 15:41:37.905323,3026
441,107,1,182731,671,2018-04-21 15:41:37.905341,3078
442,248,1,123859,679,2018-04-21 15:41:37.905360,3043
443,226,1,288488,679,2018-04-21 15:41:37.905390,3074
444,198,1,283964,680,2018-04-21 15:41:37.905410,3071
445,369,1,167603,680,2018-04-21 15:41:37.905428,3022
446,949,0,232883,680,2018-04-21 15:41:37.905446,3005
447,112,0,209822,674,2018-04-21 15:41:37.905465,3009
448,995,1,249491,677,2018-04-21 15:41:37.905482,3027
449,921,1,272502,676,2018-04-21 15:41:37.905502,3055
450,451,1,204276,676,2018-04-21 15:41:37.905519,3075
451,836,1,106293,676,2018-04-21 15:41:37.905549,3065
452,159,0,142375,674,2018-04-21 15:41:37.905570,3021
453,906,0,122339,680,2018-04-21 15:41:37.905588,3054
454,345,0,141719,671,2018-04-21 15:41:37.905605,3004
455,499,1,202275,679,2018-04-21 15:41:37.905623,3052
456,203,0,126468,676,2018-04-21 15:41:37.905641,3031
457,577,1,254820,680,2018-04-21 15:41:37.905659,3098
458,166,0,273014,676,2018-04-21 15:41:37.905677,3058
459,106,1,198437,677,2018-04-21 15:41:37.905695,3096
460,299,1,281892,673,2018-04-21 15:41:37.905713,3041
461,585,0,293527,680,2018-04-21 15:41:37.905731,3051
462,425,1,136413,671,2018-04-21 15:41:37.905749,3032
